TargetSystem,Traffic
NUTRAVELGTR,112028.0
SSFGTR,41013.0
NC4GTR,1757.0
MTTGTR,1147473.0
TRIPBAMGBTGTR,24037.0
ROADMAP,83819.0
LANYONGTR,3806.0
CRISIS24GTR,5811.0
VOYAGEMANAGER,953.0
GEMSTONEGTR,585.0
ANVILGTR,86196.0
MICROSOFT,59261.0
APMM,49.0
MERMAIDGTR,724.0
CONFERMAGTR,17435.0
LIDO11,3.0
LIDOGTR,1598.0
IBM,88286.0
CONTGOGTR,38881.0
AUDITOR,14601.0
EXPERTAPPROVALGTR,4221.0
(not set),31.0
DOME,272.0
YAPTAGTR,191769.0
CONCURTRXGTR,279.0
NETTRANSGTR,219490.0
ISOSGTR,1113852.0
TPIIWEBGTR,108521.0
IJETGTR,202804.0
TRIPBAMGTR,66499.0
